Week,Date,Day,Weight,Calories,Macro Split (C/F/P),Protein (g),Workout,Conditioning (cal estimated using apps),Steps,Cal (cond),Cal (walk),Notes
,2020-11-05,Th,,,,,,,3023,,120.92,
,2020-11-06,F,,,,,,,2219,,88.76,
,2020-11-07,Sa,,,,,,,9606,,384.24,
,2020-11-08,Su,,2221,39/39/22,122,,,4451,,178.04,
25,2020-11-09,M,,,,,,,4055,,162.2,
,2020-11-10,Tu,,2172,41/31/28,163,,Jump Rope (650 cal),2962,650,118.48,
,2020-11-11,W,,1822,34/39/27,127,JN W1D1,,2549,,101.96,
,2020-11-12,Th,,2138,35/42/23,130,,,2046,,81.84,
,2020-11-13,F,,1976,43/30/27,141,JN W1D2,,3634,,145.36,
,2020-11-14,Sa,,2453,37/42/21,130,,,3059,,122.36,
,2020-11-15,Su,,2023,48/29/23,113,JN W1D3,,5875,,235,
26,2020-11-16,M,175.4,2277,45/31/24,138,,,2997,,119.88,
,2020-11-17,Tu,174.8,1911,48/28/36,132,,,4801,,192.04,
,2020-11-18,W,,2076,42/31/27,143,,Jump Rope (1071),2980,1071,119.2,
,2020-11-19,Th,174.2,1602,39/36/25,109,,,2755,,110.2,
,2020-11-20,F,,1909,42/32/26,133,,,4225,,169,
,2020-11-21,Sa,174.6,2223,40/31/29,162,JN W1D4,,2383,,95.32,
,2020-11-22,Su,,,,,,,,,0,
51,2021-05-03,M,182.4,1844,,145,,,7877,,315.08,531 C2W2
,2021-05-04,Tu,181,,,,,,6319,,252.76,
,2021-05-05,W,,2111,,165,"531 bench; DBrow, Calf Raise",,7279,,291.16,
,2021-05-06,Th,182.4,1885,,150,,,6937,,277.48,
,2021-05-07,F,182,1790,,150,,,7008,,280.32,
,2021-05-08,Sa,,2013,,169,531 squat,,3547,,141.88,
,2021-05-09,Su,182.2,2016,,137,,,6358,,254.32,
52,2021-05-10,M,181.8,1957,,177,"531 Press; Chin-ups, BBrow, Push Press",,7381,,295.24,531 C2W3
,2021-05-11,Tu,181.8,1906,,143,,,6304,,252.16,
,2021-05-12,W,182,2083,,184,531 TBarDL; Banded Woodchopper,,6771,,270.84,
,2021-05-13,Th,182.4,1830,,157,,,5954,,238.16,
